session,title,keys,file_path,file_type
BM26_Feb2024,011824_R8_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R8_heating_180\WAXS\011824_R8_heating_180_WAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_030822_1,,\\Synology\Data\2024\BM26_Feb2024\Acetone_030822_1\SAXS\Acetone_030822_1_SAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_030822_1,,\\Synology\Data\2024\BM26_Feb2024\Acetone_030822_1\WAXS\Acetone_030822_1_WAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_030822_1_secondtry,,\\Synology\Data\2024\BM26_Feb2024\Acetone_030822_1_secondtry\SAXS\Acetone_030822_1_secondtry_SAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_030822_1_secondtry,,\\Synology\Data\2024\BM26_Feb2024\Acetone_030822_1_secondtry\WAXS\Acetone_030822_1_secondtry_WAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_030822_4,,\\Synology\Data\2024\BM26_Feb2024\Acetone_030822_4\SAXS\Acetone_030822_4_SAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_030822_4,,\\Synology\Data\2024\BM26_Feb2024\Acetone_030822_4\WAXS\Acetone_030822_4_WAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_090320_2,,\\Synology\Data\2024\BM26_Feb2024\Acetone_090320_2\SAXS\Acetone_090320_2_SAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_090320_2,,\\Synology\Data\2024\BM26_Feb2024\Acetone_090320_2\WAXS\Acetone_090320_2_WAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_090320_2_reswelling_drying,,\\Synology\Data\2024\BM26_Feb2024\Acetone_090320_2_reswelling_drying\SAXS\Acetone_090320_2_reswelling_drying_SAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_090320_2_reswelling_drying,,\\Synology\Data\2024\BM26_Feb2024\Acetone_090320_2_reswelling_drying\WAXS\Acetone_090320_2_reswelling_drying_WAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_090320_2_reswelling_hexane,,\\Synology\Data\2024\BM26_Feb2024\Acetone_090320_2_reswelling_hexane\SAXS\Acetone_090320_2_reswelling_hexane_SAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_090320_2_reswelling_hexane,,\\Synology\Data\2024\BM26_Feb2024\Acetone_090320_2_reswelling_hexane\WAXS\Acetone_090320_2_reswelling_hexane_WAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_090420_3,,\\Synology\Data\2024\BM26_Feb2024\Acetone_090420_3\SAXS\Acetone_090420_3_SAXS_0000.edf,edf/dat
BM26_Feb2024,Acetone_090420_3,,\\Synology\Data\2024\BM26_Feb2024\Acetone_090420_3\WAXS\Acetone_090420_3_WAXS_0000.edf,edf/dat
BM26_Feb2024,AgBe_stretcher,,\\Synology\Data\2024\BM26_Feb2024\AgBe_stretcher\SAXS\AgBe_stretcher_SAXS_0000.edf,edf/dat
BM26_Feb2024,AgBe_stretcher,,\\Synology\Data\2024\BM26_Feb2024\AgBe_stretcher\WAXS\AgBe_stretcher_WAXS_0000.edf,edf/dat
BM26_Feb2024,AgBh_3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\AgBh_3m_12keV\SAXS\AgBh_3m_12keV_SAXS_0000.edf,edf/dat
BM26_Feb2024,AgBh_3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\AgBh_3m_12keV\WAXS\AgBh_3m_12keV_WAXS_0000.edf,edf/dat
BM26_Feb2024,AgBh_capil_3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\AgBh_capil_3m_12keV\SAXS\AgBh_capil_3m_12keV_SAXS_0000.edf,edf/dat
BM26_Feb2024,AgBh_capil_3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\AgBh_capil_3m_12keV\WAXS\AgBh_capil_3m_12keV_WAXS_0000.edf,edf/dat
BM26_Feb2024,AgBh_washers_3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\AgBh_washers_3m_12keV\SAXS\AgBh_washers_3m_12keV_SAXS_0000.edf,edf/dat
BM26_Feb2024,AgBh_washers_3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\AgBh_washers_3m_12keV\WAXS\AgBh_washers_3m_12keV_WAXS_0000.edf,edf/dat
BM26_Feb2024,Al2O3_0p3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\Al2O3_0p3m_12keV\SAXS\Al2O3_0p3m_12keV_SAXS_0000.edf,edf/dat
BM26_Feb2024,Al2O3_0p3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\Al2O3_0p3m_12keV\WAXS\Al2O3_0p3m_12keV_WAXS_0000.edf,edf/dat
BM26_Feb2024,Al2O3_capil_0p3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\Al2O3_capil_0p3m_12keV\SAXS\Al2O3_capil_0p3m_12keV_SAXS_0000.edf,edf/dat
BM26_Feb2024,Al2O3_capil_0p3m_12keV,,\\Synology\Data\2024\BM26_Feb2024\Al2O3_capil_0p3m_12keV\WAXS\Al2O3_capil_0p3m_12keV_WAXS_0000.edf,edf/dat
BM26_Feb2024,Al2O3_stretcher,,\\Synology\Data\2024\BM26_Feb2024\Al2O3_stretcher\SAXS\Al2O3_stretcher_SAXS_0000.edf,edf/dat
BM26_Feb2024,Al2O3_stretcher,,\\Synology\Data\2024\BM26_Feb2024\Al2O3_stretcher\WAXS\Al2O3_stretcher_WAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N1,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N1\SAXS\Alina_Membrane_capillary_water_N1_SAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N1,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N1\WAXS\Alina_Membrane_capillary_water_N1_WAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N10,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N10\SAXS\Alina_Membrane_capillary_water_N10_SAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N10,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N10\WAXS\Alina_Membrane_capillary_water_N10_WAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N11,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N11\SAXS\Alina_Membrane_capillary_water_N11_SAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N11,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N11\WAXS\Alina_Membrane_capillary_water_N11_WAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N12,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N12\SAXS\Alina_Membrane_capillary_water_N12_SAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N12,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N12\WAXS\Alina_Membrane_capillary_water_N12_WAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N13,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N13\SAXS\Alina_Membrane_capillary_water_N13_SAXS_0000.edf,edf/dat
BM26_Feb2024,Alina_Membrane_capillary_water_N13,,\\Synology\Data\2024\BM26_Feb2024\Alina_Membrane_capillary_water_N13\WAXS\Alina_Membrane_capillary_water_N13_WAXS_0000.edf,edf/dat
