session,title,keys,file_path
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Base_22mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Base|22mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_22mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_22mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Base_24mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Base|24mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_24mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_24mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Base_26mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Base|26mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_26mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_26mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Base_28mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Base|28mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_28mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_28mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Base_30mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Base|30mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_30mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_30mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Base_32mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Base|32mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_32mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_32mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Base_36mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Base|36mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_36mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_Base_36mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Base_38mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Base|38mm,
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_Undeformed_20mm,PDMS|g|P3HT|15perc|CHCl3|stretch|Undeformed|20mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch\PDMS_g_P3HT_15perc_CHCl3_stretch_Undeformed_20mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_Undeformed_20mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam_Base_15mm,PDMS|g|P3HT|12perc|CHCl3|stretch|ultmatesam|Base|15mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam\PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam_Base_15mm\WAXS\PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam_Base_15mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam_Base_16mm,PDMS|g|P3HT|12perc|CHCl3|stretch|ultmatesam|Base|16mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam\PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam_Base_16mm\WAXS\PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam_Base_16mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_12perc_CHCl3_stretch_ultmatesam_Base_17mm,PDMS|g|P3HT|12perc|CHCl3|stretch|ultmatesam|Base|17mm,
IHSC_1872,PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_15mm,PDMS|g|P3HT|12perc|CHCl3|stretch|tiny|Base|15mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_15mm\WAXS\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_15mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_16mm,PDMS|g|P3HT|12perc|CHCl3|stretch|tiny|Base|16mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_16mm\WAXS\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_16mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_17mm,PDMS|g|P3HT|12perc|CHCl3|stretch|tiny|Base|17mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_17mm\WAXS\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_17mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_17_5mm,PDMS|g|P3HT|12perc|CHCl3|stretch|tiny|Base|17|5mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_17_5mm\WAXS\PDMS_g_P3HT_12perc_CHCl3_stretch_tiny_Base_17_5mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_12perc_CHCl3_stretch_secondsam_Base_22mm,PDMS|g|P3HT|12perc|CHCl3|stretch|secondsam|Base|22mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_12perc_CHCl3_stretch_secondsam\PDMS_g_P3HT_12perc_CHCl3_stretch_secondsam_Base_22mm\WAXS\PDMS_g_P3HT_12perc_CHCl3_stretch_secondsam_Base_22mm_WAXS_0000.edf
